destination_id,destination_name,state_ut,region,category,famous_for,nearby_cities,local_language,pin_code,nearest_airport,avg_monthly_visitors,peak_season,off_season,visitor_growth_rate_pct,avg_length_of_stay_days,booking_rate_pct,domestic_visitors_pct,international_visitors_pct,repeat_visitors_pct,entry_fee_inr,safety_rating_1_5,travel_difficulty,accessibility_by_road,accessibility_by_rail,emergency_services_available,hotel_count,avg_hotel_cost_inr,restaurant_count,public_transport_available,internet_connectivity_1_5,avg_temperature_c,rainfall_mm,pollution_index_1_10,cleanliness_rating_1_10,eco_tourism_score_1_10,popular_festival,top_local_cuisine,cultural_heritage_index_1_100,adventure_activities,recommended_stay_days,tourism_development_fund_inr,tour_guide_availability,women_traveler_safety_1_5,child_friendliness_1_5,nightlife_availability,instagram_popularity_1_100,sustainability_rating_1_5,smart_tourism_features,local_crafts_shopping,most_visited_month
DST1843,Place_843,Tamil Nadu,East,Urban,Culture,Chennai,Marathi,214479,Indira Gandhi International Airport,17585,Summer,Summer,7.09,2,83.58,85.72,17.65,31.45,467,5,Easy,true,true,true,71,3703,198,true,1,21,664.6,6,7,9,Diwali,Sarson da Saag,66,true,8,6708181,false,5,2,true,58,2,false,false,March
DST1844,Place_844,Assam,Northeast,Heritage,Culture,Jaipur,Tamil,157429,Netaji Subhas Chandra Bose International Airport,31297,Monsoon,Summer,7.32,7,79.57,84.55,20.67,57.23,40,5,Moderate,false,false,false,17,8923,55,true,5,35.9,1605.7,6,7,2,Diwali,Vada Pav,78,false,2,4827635,false,5,5,false,90,3,true,false,December
DST1845,Place_845,Maharashtra,West,Hill Station,Culture,Jaipur,Tamil,866355,Raja Bhoj Airport,15772,Winter,Summer,6.61,12,74.7,86.92,15.19,33.98,22,5,Easy,false,false,true,56,1084,106,true,4,21.3,1559.3,4,1,3,Diwali,Rogan Josh,68,true,3,29171745,true,3,3,false,33,3,true,true,August
DST1846,Place_846,Tamil Nadu,North,Wildlife,Scenery,Kolkata,Bengali,667487,Indira Gandhi International Airport,15455,Winter,Monsoon,13.85,5,65.78,77.69,31.82,16.08,185,5,Moderate,true,true,true,67,6658,58,true,5,15.6,1098.1,2,7,9,Bihu,Rogan Josh,50,false,6,36769480,false,1,2,true,43,3,true,false,January
DST1847,Place_847,Rajasthan,Central,Urban,Food,Goa,Malayalam,701380,Chhatrapati Shivaji Maharaj International Airport,7299,Winter,Summer,6.03,14,84.87,76.03,19.33,44.03,215,1,Difficult,false,true,false,45,8957,129,true,1,24.7,2031.3,1,5,7,Lohri,Kebabs,42,false,8,32099362,false,1,2,true,48,1,false,true,March
DST1848,Place_848,Kerala,East,Urban,Wildlife,Mumbai,Hindi,487069,Jaipur International Airport,11188,Summer,Summer,12.99,11,79.59,65.57,36.05,16.44,42,5,Easy,true,true,true,79,5866,155,true,4,14.1,1236.6,8,5,7,Diwali,Idli,54,false,4,48018498,true,3,1,true,51,4,true,true,August
DST1849,Place_849,Himachal Pradesh,West,Hill Station,Wildlife,Lucknow,Malayalam,789182,Lokpriya Gopinath Bordoloi International Airport,46454,Monsoon,Winter,13.64,4,80.8,89.53,38.73,26.13,360,1,Moderate,true,false,true,27,4114,85,false,2,27.6,738.7,5,2,4,Durga Puja,Biryani,78,true,6,6619391,false,4,2,true,16,2,false,true,October
DST1850,Place_850,Rajasthan,West,Beach,Food,Ahmedabad,Malayalam,848873,Chennai International Airport,47779,Summer,Winter,7.99,8,55.48,61.56,35.09,21.4,112,3,Moderate,true,true,true,51,8877,83,false,5,27.3,2107.2,3,6,1,Durga Puja,Pav Bhaji,32,false,9,1913277,false,2,1,false,32,5,false,false,December
DST1851,Place_851,Rajasthan,West,Hill Station,Food,Bhopal,Hindi,906545,Chaudhary Charan Singh International Airport,25763,Monsoon,Summer,7.26,9,61.17,69.36,23.29,36.95,230,4,Difficult,true,false,false,69,4672,161,false,4,24.7,2942.6,9,4,8,Lohri,Vada Pav,55,false,8,47205176,false,5,3,true,30,2,true,true,January
DST1852,Place_852,Goa,West,Hill Station,Food,Kolkata,Tamil,818954,Chaudhary Charan Singh International Airport,33517,Summer,Summer,11.65,12,75.34,78.2,22.84,27.38,423,4,Moderate,false,false,false,35,6924,26,false,4,28.1,2451,3,7,10,Onam,Pav Bhaji,41,false,3,11825292,true,3,1,false,52,2,false,true,January
DST1853,Place_853,Kerala,Northeast,Urban,Food,Jaipur,Tamil,720390,Rajiv Gandhi International Airport,22555,Winter,Summer,10.91,13,58.55,94.01,12.56,17.99,413,3,Easy,true,true,true,40,2373,116,true,1,39.3,1300.7,5,2,9,Ganesh Chaturthi,Momos,61,false,6,40344480,true,1,3,true,69,5,false,false,October
DST1854,Place_854,Rajasthan,West,Wildlife,Temples,Ahmedabad,Hindi,364813,Cochin International Airport,30323,Summer,Winter,5.6,5,64.7,87.51,25.73,49.54,417,1,Easy,false,false,false,18,6011,105,true,5,21.5,1189.4,2,8,4,Ganesh Chaturthi,Dosa,87,true,8,35220963,false,4,3,true,33,2,false,true,March
DST1855,Place_855,Rajasthan,Central,Hill Station,Wildlife,Bhopal,Marathi,280499,Goa International Airport,18938,Summer,Winter,2.44,13,72.33,72.9,38.35,33.42,109,5,Moderate,false,true,true,41,6952,193,true,2,22.7,212.1,6,5,1,Eid,Biryani,42,true,3,1681699,false,4,4,true,76,3,false,false,October
DST1856,Place_856,Kerala,East,Beach,Temples,Cochin,Malayalam,574833,Pune Airport,22983,Summer,Summer,4.71,13,61.89,84.99,7.82,32.72,137,2,Easy,true,true,true,36,8330,98,true,3,18.2,2005.5,9,8,9,Onam,Vada Pav,78,false,8,40784849,true,4,1,false,37,3,false,false,March
DST1857,Place_857,Kerala,Northeast,Heritage,Culture,Goa,Bengali,768298,Devi Ahilya Bai Holkar Airport,13874,Winter,Winter,2.83,11,79.65,92.6,31.34,54.32,104,1,Easy,false,true,false,57,3652,61,false,1,15.5,745.6,1,7,5,Durga Puja,Momos,66,false,8,35121438,true,2,2,false,75,1,false,false,March
DST1858,Place_858,Rajasthan,West,Hill Station,Culture,Cochin,Tamil,498933,Chennai International Airport,25805,Summer,Winter,5.13,13,45.81,78.86,35.43,36.94,315,1,Moderate,true,true,false,32,3090,80,true,4,18.7,2082.2,3,3,6,Bihu,Chole Bhature,44,true,5,23160286,true,3,2,false,13,5,true,false,August
DST1859,Place_859,Kerala,South,Hill Station,Wildlife,Guwahati,Bengali,964250,Raja Bhoj Airport,47209,Summer,Summer,4.67,12,75.9,76.17,39.53,45.49,384,3,Difficult,true,false,false,69,1296,29,false,5,16.4,2304.5,10,9,2,Ganesh Chaturthi,Momos,63,false,5,32432655,false,5,3,true,90,3,true,true,August
DST1860,Place_860,Rajasthan,South,Beach,Culture,Hyderabad,Hindi,819935,Sardar Vallabhbhai Patel International Airport,33822,Winter,Winter,9.93,12,47.26,79.35,16.72,26.4,139,3,Difficult,true,false,false,51,2130,166,false,3,23,2651.4,1,9,5,Eid,Pav Bhaji,67,false,6,45835365,false,5,1,false,93,5,true,false,May
DST1861,Place_861,Rajasthan,East,Wildlife,Food,Ahmedabad,Bengali,704025,Kempegowda International Airport,21750,Monsoon,Summer,14.36,7,86.89,70.9,17.45,38.06,429,2,Easy,false,false,true,75,3984,92,false,4,17,1689.9,5,2,1,Navratri,Idli,95,false,7,32775414,true,5,5,true,45,3,false,true,January
DST1862,Place_862,Goa,North,Hill Station,Temples,Delhi,Bengali,124406,Devi Ahilya Bai Holkar Airport,37799,Summer,Monsoon,10.6,14,55.7,91.76,13.04,46.32,254,5,Moderate,true,true,true,84,9908,187,false,5,25.5,2506.9,5,3,3,Lohri,Momos,79,false,7,13343883,true,4,2,false,66,2,true,false,August
DST1863,Place_863,Maharashtra,North,Hill Station,Food,Kolkata,Malayalam,615904,Pune Airport,43083,Winter,Monsoon,13.97,12,79.77,87.9,32.62,24.82,498,4,Easy,false,true,true,36,8597,128,false,5,18.6,2197.2,4,10,1,Lohri,Rogan Josh,65,false,3,44736047,true,1,5,true,99,5,true,false,January
DST1864,Place_864,Rajasthan,Northeast,Wildlife,Culture,Indore,Hindi,327894,Pune Airport,28946,Summer,Monsoon,11.98,12,66.07,84.69,9.9,44.43,348,5,Easy,false,false,false,28,4983,127,false,3,22.7,1123.6,5,10,1,Pongal,Rogan Josh,13,false,4,21129706,false,4,1,true,66,3,false,true,March
DST1865,Place_865,Tamil Nadu,Northeast,Beach,Temples,Kolkata,Bengali,112873,Kempegowda International Airport,2552,Winter,Winter,11.19,3,44.55,80.62,14.37,38.44,74,5,Moderate,true,true,false,18,7520,152,false,4,13.9,408.6,8,1,9,Ganesh Chaturthi,Rogan Josh,75,false,8,20244074,false,4,2,true,95,4,false,true,December
DST1866,Place_866,Himachal Pradesh,Northeast,Hill Station,Food,Delhi,Tamil,225812,Jaipur International Airport,31049,Monsoon,Monsoon,6.8,9,69.13,93.93,15.33,31.71,232,1,Difficult,true,false,false,51,5426,168,true,3,14.9,802.3,8,1,6,Holi,Momos,18,true,2,47955570,false,2,5,false,28,5,true,true,August
DST1867,Place_867,Assam,North,Wildlife,Wildlife,Bhopal,Hindi,968480,Raja Bhoj Airport,8795,Monsoon,Winter,5.55,7,85.61,70.42,18.12,45.65,400,2,Easy,false,true,false,83,5331,22,true,2,28.4,2549.3,6,3,8,Pongal,Momos,28,true,6,5783675,false,4,2,false,40,5,false,false,May
DST1868,Place_868,Maharashtra,South,Hill Station,Food,Hyderabad,Tamil,647749,Pune Airport,6271,Summer,Summer,12.85,12,47.86,69.91,19.76,25.85,211,1,Difficult,false,true,true,5,8818,65,false,1,27,1649.8,4,3,5,Pongal,Pav Bhaji,72,false,4,39728745,false,4,4,false,51,4,false,false,March
DST1869,Place_869,Maharashtra,North,Heritage,Culture,Pune,Marathi,513926,Chhatrapati Shivaji Maharaj International Airport,15665,Winter,Monsoon,13.68,10,56.07,68.47,24.57,45.73,57,3,Easy,true,false,true,96,5811,28,true,1,15.1,2030.1,4,5,9,Pongal,Chole Bhature,69,false,8,40849403,false,2,4,true,69,5,true,false,October
DST1870,Place_870,Maharashtra,Central,Urban,Temples,Pune,Bengali,113448,Pune Airport,1115,Monsoon,Winter,7.33,12,61.96,85.96,38.19,37.56,37,4,Moderate,true,false,false,23,6176,79,true,2,18.8,2437.6,5,6,4,Navratri,Sarson da Saag,60,false,3,4118987,false,4,3,false,98,1,false,true,August
DST1871,Place_871,Goa,West,Heritage,Wildlife,Guwahati,Hindi,639486,Cochin International Airport,37381,Monsoon,Monsoon,1.13,14,53.75,87.9,13.65,22.28,261,2,Moderate,true,false,false,62,3484,165,false,4,16.6,2034.4,5,4,10,Diwali,Idli,82,true,8,9514957,true,3,1,false,39,2,true,true,January
DST1872,Place_872,Rajasthan,Northeast,Hill Station,Temples,Pune,Tamil,697446,Goa International Airport,29994,Winter,Winter,12.1,14,87.19,80.9,32.27,43.41,445,2,Difficult,true,true,true,11,7139,159,false,3,33.9,2582.6,2,10,8,Onam,Dosa,14,true,3,26313838,false,3,2,true,57,2,false,false,May
DST1873,Place_873,Goa,South,Beach,Wildlife,Pune,Bengali,599600,Devi Ahilya Bai Holkar Airport,28186,Summer,Winter,4.99,7,58.88,82.82,28.67,54.24,211,5,Easy,true,false,false,86,7262,165,false,1,20.9,350.4,6,7,6,Diwali,Chole Bhature,25,true,6,3957277,false,3,5,false,82,3,true,true,May
DST1874,Place_874,Rajasthan,East,Urban,Temples,Mumbai,Malayalam,561154,Rajiv Gandhi International Airport,31267,Monsoon,Summer,1.14,7,72.9,72.21,9.06,25.5,457,1,Moderate,false,false,false,81,1570,89,false,2,22.2,2720.6,7,3,10,Pongal,Rogan Josh,99,false,8,36816482,false,2,2,false,39,1,false,false,May
DST1875,Place_875,Goa,East,Heritage,Culture,Delhi,Tamil,325075,Netaji Subhas Chandra Bose International Airport,40140,Monsoon,Winter,12.27,13,51.2,61.39,33.36,50.62,137,5,Easy,false,true,true,68,2314,123,false,5,29.9,2456.6,3,4,5,Lohri,Sarson da Saag,16,false,4,3399790,false,5,2,true,50,4,false,true,March
DST1876,Place_876,Goa,West,Wildlife,Wildlife,Cochin,Tamil,266033,Raja Bhoj Airport,49898,Monsoon,Winter,8.24,3,50.99,68.88,8.17,26.81,478,5,Easy,false,true,true,22,8971,42,true,1,19.8,2718.7,10,5,5,Holi,Biryani,11,true,7,38462544,false,3,5,false,41,4,false,false,March
DST1877,Place_877,Himachal Pradesh,South,Beach,Scenery,Indore,Marathi,798367,Lokpriya Gopinath Bordoloi International Airport,25935,Summer,Monsoon,10.59,6,48.79,80.45,30.86,51.06,281,2,Difficult,true,true,true,67,6452,123,false,1,21.3,2219.5,4,8,3,Holi,Sarson da Saag,87,false,6,48853954,false,1,5,false,68,2,false,true,August
DST1878,Place_878,Tamil Nadu,North,Heritage,Temples,Hyderabad,Malayalam,165470,Chaudhary Charan Singh International Airport,32748,Monsoon,Summer,13.81,10,61.74,88.45,30.05,12.56,57,4,Easy,true,true,false,72,5595,182,true,2,33.9,895.7,9,9,4,Lohri,Kebabs,40,false,5,21445256,false,1,4,false,57,4,true,true,December
DST1879,Place_879,Goa,North,Wildlife,Temples,Cochin,Marathi,283328,Jaipur International Airport,25603,Winter,Winter,8.58,2,66.64,87.2,29.13,10.36,272,3,Easy,true,true,false,54,9922,185,true,3,33.8,430.3,4,3,10,Holi,Vada Pav,95,true,8,46823931,false,4,3,false,88,2,false,true,December
DST1880,Place_880,Himachal Pradesh,Central,Hill Station,Food,Jaipur,Malayalam,645027,Chennai International Airport,4837,Summer,Monsoon,8.04,5,40.54,66.28,14.68,15.66,52,5,Difficult,true,false,false,72,5577,124,false,1,28.1,476,10,1,5,Holi,Momos,42,true,3,15151999,true,5,5,true,74,1,true,false,January
DST1881,Place_881,Kerala,Central,Wildlife,Wildlife,Bengaluru,Tamil,970486,Sardar Vallabhbhai Patel International Airport,37301,Monsoon,Summer,5.07,11,81.65,61.8,25.07,53.7,205,4,Moderate,false,true,false,95,6588,72,false,3,26.8,1546.8,7,2,9,Bihu,Idli,49,true,8,15117715,false,4,2,false,30,1,true,false,October
DST1882,Place_882,Tamil Nadu,North,Heritage,Scenery,Bhopal,Marathi,420330,Lokpriya Gopinath Bordoloi International Airport,10610,Winter,Winter,5.27,11,65.64,89.77,31.66,36.69,4,5,Easy,false,false,false,20,1325,35,true,2,15.4,1233.7,2,2,10,Pongal,Pav Bhaji,68,true,5,26225148,true,3,4,false,45,1,false,false,March
DST1883,Place_883,Goa,East,Heritage,Culture,Kolkata,Bengali,126547,Devi Ahilya Bai Holkar Airport,29615,Winter,Monsoon,12.15,4,47.86,62.65,27.32,39.71,322,4,Easy,false,true,true,18,8230,96,true,5,24.2,1997.2,5,3,3,Diwali,Rogan Josh,92,true,9,42634813,false,1,1,false,76,3,true,false,December
DST1884,Place_884,Assam,Northeast,Hill Station,Food,Ahmedabad,Malayalam,194472,Chhatrapati Shivaji Maharaj International Airport,12108,Summer,Summer,7.29,2,43.36,73.77,33.15,52.11,106,1,Moderate,false,true,true,66,8347,10,true,1,18.2,1559.5,6,2,5,Lohri,Biryani,15,false,6,7497611,true,2,4,true,88,4,false,false,May
DST1885,Place_885,Maharashtra,East,Wildlife,Scenery,Pune,Tamil,972255,Jaipur International Airport,39599,Winter,Summer,3.29,2,43.16,63.3,29.08,12.53,242,3,Difficult,true,true,true,82,6947,199,false,3,31.9,463.4,2,1,9,Holi,Momos,55,false,3,31042118,false,5,4,true,97,3,true,false,May
DST1886,Place_886,Kerala,Central,Wildlife,Wildlife,Guwahati,Hindi,611517,Raja Bhoj Airport,23347,Summer,Summer,2.32,2,52.88,79.74,14.61,29.36,147,2,Moderate,false,true,true,11,4235,102,false,3,28.8,106.5,1,6,1,Holi,Kebabs,49,true,9,39487516,true,4,4,true,25,5,true,false,January
DST1887,Place_887,Kerala,West,Hill Station,Scenery,Ahmedabad,Malayalam,206887,Netaji Subhas Chandra Bose International Airport,35062,Summer,Summer,7.62,2,64.96,72.72,10.36,42.15,178,1,Easy,true,false,false,60,5073,115,true,4,21.3,472.1,9,7,5,Durga Puja,Vada Pav,52,false,7,5746101,false,1,2,true,67,4,false,false,October
DST1888,Place_888,Himachal Pradesh,North,Wildlife,Temples,Bengaluru,Malayalam,806791,Goa International Airport,49431,Summer,Winter,7.51,14,83.01,67.09,27.12,30.23,173,5,Easy,false,false,true,18,9746,140,false,3,26.1,525.5,7,1,4,Ganesh Chaturthi,Pav Bhaji,83,true,7,40743805,false,3,5,true,16,5,false,false,August
DST1889,Place_889,Kerala,Central,Hill Station,Temples,Kolkata,Bengali,833771,Rajiv Gandhi International Airport,8550,Winter,Winter,10.15,3,85.15,80.83,31.59,11.61,462,5,Difficult,false,false,true,46,9394,93,false,3,22.6,2187.8,8,9,1,Diwali,Sarson da Saag,21,false,6,19996124,true,3,3,true,89,1,true,false,August
DST1890,Place_890,Tamil Nadu,Central,Beach,Food,Chennai,Malayalam,897118,Netaji Subhas Chandra Bose International Airport,29205,Summer,Summer,7.59,12,81.62,72.72,9.98,42.55,322,3,Difficult,true,true,true,74,5785,116,true,2,14.4,927.3,5,7,1,Navratri,Kebabs,99,false,9,1757369,true,5,1,false,37,3,true,false,December
DST1891,Place_891,Goa,Northeast,Heritage,Wildlife,Indore,Malayalam,248608,Chennai International Airport,19459,Summer,Summer,3.01,6,56.43,65.84,11.12,29.57,386,3,Moderate,true,false,true,66,5879,125,true,3,33.4,371.5,5,4,7,Holi,Biryani,13,false,7,1224273,true,4,3,false,59,3,true,true,March
DST1892,Place_892,Goa,North,Beach,Wildlife,Guwahati,Bengali,396206,Kempegowda International Airport,47598,Winter,Winter,8.11,3,55.33,84.5,5.42,10.96,406,3,Difficult,true,false,false,47,2587,14,false,4,36.9,2290.6,1,3,6,Ganesh Chaturthi,Pav Bhaji,68,false,2,42914113,false,3,2,true,21,2,false,true,October
DST1893,Place_893,Assam,Northeast,Urban,Scenery,Cochin,Bengali,934648,Sardar Vallabhbhai Patel International Airport,46799,Summer,Monsoon,13.7,5,89.37,89.29,23.61,18.53,392,5,Moderate,true,false,false,61,1452,182,false,5,37.9,2827.4,3,6,1,Pongal,Biryani,58,false,4,37897455,true,1,3,true,34,1,false,true,December
DST1894,Place_894,Maharashtra,North,Urban,Food,Lucknow,Marathi,393797,Kempegowda International Airport,24750,Monsoon,Summer,3.23,10,74.06,69.58,23.98,20.88,138,5,Moderate,false,false,true,95,4074,21,false,4,33.7,391.4,7,3,4,Ganesh Chaturthi,Vada Pav,14,true,8,1583449,false,4,3,false,39,2,false,true,March
DST1895,Place_895,Himachal Pradesh,Northeast,Urban,Wildlife,Hyderabad,Tamil,645961,Lokpriya Gopinath Bordoloi International Airport,45637,Winter,Winter,10.66,4,55.25,66.52,22.5,35.53,174,2,Easy,true,false,false,79,2112,57,false,5,34.6,2892.9,10,4,7,Eid,Pav Bhaji,33,true,9,28966426,false,1,1,true,81,1,false,false,March
DST1896,Place_896,Maharashtra,East,Hill Station,Temples,Mumbai,Tamil,241439,Raja Bhoj Airport,28729,Winter,Winter,9.31,3,56.45,62.63,16.06,19.32,252,3,Moderate,false,true,true,35,2074,23,true,1,11.7,2855.8,9,9,6,Ganesh Chaturthi,Rogan Josh,44,false,3,17368570,true,3,4,false,20,2,false,false,January
DST1897,Place_897,Kerala,West,Wildlife,Scenery,Bhopal,Marathi,119629,Devi Ahilya Bai Holkar Airport,39585,Winter,Monsoon,11.48,5,61.73,78.48,19.97,28.07,432,4,Moderate,false,true,true,55,4524,62,true,5,33.5,1617,8,5,10,Pongal,Rogan Josh,14,true,8,27145509,false,1,5,true,69,3,true,true,August
DST1898,Place_898,Assam,West,Beach,Culture,Guwahati,Tamil,745044,Lokpriya Gopinath Bordoloi International Airport,19162,Monsoon,Winter,3.11,10,71.09,89.1,31.82,47.53,249,2,Difficult,false,true,true,71,5767,54,false,5,19.1,957.7,5,10,2,Holi,Momos,14,true,8,37763219,true,3,5,false,51,3,true,true,December
DST1899,Place_899,Maharashtra,North,Beach,Temples,Ahmedabad,Malayalam,735929,Indira Gandhi International Airport,46635,Summer,Summer,14.18,5,84.9,68.78,11.36,50.39,427,4,Difficult,false,true,false,5,9671,169,true,4,14.1,500.5,3,5,9,Ganesh Chaturthi,Biryani,81,true,8,8749463,true,2,3,false,64,2,true,false,May
DST1900,Place_900,Tamil Nadu,South,Beach,Food,Pune,Marathi,565406,Raja Bhoj Airport,45854,Winter,Winter,9.69,13,49.92,76.12,12.05,49.77,368,1,Easy,true,false,true,84,4318,167,false,2,25.7,2489.2,9,9,10,Navratri,Pav Bhaji,64,true,9,32194598,true,4,1,false,45,2,true,true,January
DST1901,Place_901,Goa,Central,Beach,Wildlife,Delhi,Marathi,387207,Rajiv Gandhi International Airport,11690,Winter,Summer,12.86,6,44.22,65.63,28.34,44.75,488,3,Easy,true,false,false,48,3933,21,true,2,27.1,1853.7,4,2,3,Durga Puja,Chole Bhature,74,true,7,28024268,true,1,5,true,58,4,false,true,January
DST1902,Place_902,Kerala,Central,Urban,Temples,Ahmedabad,Tamil,381466,Sardar Vallabhbhai Patel International Airport,30104,Winter,Winter,4.45,5,60.29,74.15,35.34,37.09,396,2,Easy,false,false,false,95,8850,109,false,5,24.5,1988.8,9,7,2,Diwali,Chole Bhature,75,true,3,25296612,true,4,5,false,55,3,false,true,May
DST1903,Place_903,Assam,North,Beach,Culture,Kolkata,Hindi,839906,Chennai International Airport,17757,Monsoon,Summer,11.35,14,52.27,60.54,16.91,37.53,135,2,Moderate,false,false,false,54,4794,92,true,4,29.6,2596.5,3,7,1,Pongal,Idli,16,true,5,19703424,false,1,5,false,79,5,true,true,December
DST1904,Place_904,Maharashtra,Northeast,Wildlife,Culture,Chennai,Tamil,608853,Raja Bhoj Airport,15770,Monsoon,Summer,11.93,9,68.8,91.88,37.65,57.67,446,1,Difficult,true,true,false,64,3443,53,true,2,31.4,1387.4,7,6,3,Holi,Idli,24,true,2,38882163,false,3,3,false,44,5,false,true,December
DST1905,Place_905,Himachal Pradesh,South,Urban,Food,Guwahati,Hindi,899125,Jaipur International Airport,48097,Monsoon,Winter,6.56,14,74.96,83.68,7.02,53.89,21,1,Moderate,true,false,true,7,5254,162,true,2,14.1,1167.5,1,4,6,Ganesh Chaturthi,Chole Bhature,87,true,9,5113153,false,3,2,true,23,1,true,false,October
DST1906,Place_906,Tamil Nadu,East,Beach,Temples,Hyderabad,Marathi,240313,Chaudhary Charan Singh International Airport,11457,Summer,Summer,6.38,5,55.54,71.65,9.15,42.49,37,1,Easy,false,false,false,76,3512,179,true,4,28.5,2310.7,10,7,10,Pongal,Kebabs,86,false,5,23333480,false,2,3,false,46,4,false,true,May
DST1907,Place_907,Tamil Nadu,Northeast,Hill Station,Scenery,Delhi,Hindi,522994,Devi Ahilya Bai Holkar Airport,43802,Summer,Winter,10.21,3,74.27,90.84,21.1,33.42,26,2,Difficult,false,false,true,84,7714,30,true,5,11.6,961.9,5,3,1,Lohri,Momos,53,false,4,25842045,false,1,3,false,49,2,true,false,May
DST1908,Place_908,Maharashtra,Northeast,Heritage,Temples,Lucknow,Malayalam,464523,Sardar Vallabhbhai Patel International Airport,18957,Monsoon,Winter,2.31,13,57.16,66.4,30.32,46.45,281,5,Moderate,false,false,true,58,5654,198,true,1,23.5,1051,9,9,2,Diwali,Momos,38,true,6,2256229,false,2,2,false,61,5,true,true,May
DST1909,Place_909,Goa,North,Heritage,Culture,Kolkata,Bengali,899083,Cochin International Airport,30619,Summer,Winter,11.3,5,71.75,62.76,17.98,13.14,278,4,Difficult,true,true,false,6,2896,75,false,4,13,1205.2,9,1,9,Diwali,Pav Bhaji,11,true,2,30129434,false,1,5,true,50,1,false,true,May
DST1910,Place_910,Maharashtra,North,Heritage,Food,Chennai,Hindi,781326,Raja Bhoj Airport,21828,Monsoon,Summer,1.6,3,71.65,92.99,24.42,57.23,119,4,Moderate,true,false,true,33,8125,110,false,4,23.5,2583.4,6,6,1,Navratri,Momos,67,false,5,31127389,false,2,3,true,14,3,false,true,December
DST1911,Place_911,Kerala,Central,Urban,Food,Delhi,Bengali,895707,Jaipur International Airport,18171,Summer,Winter,3.67,10,53.91,70.82,6,37.38,252,1,Easy,false,true,true,20,7686,30,true,4,15.3,2359.4,6,1,1,Navratri,Idli,80,true,8,41700029,true,4,4,true,30,3,false,true,December
DST1912,Place_912,Maharashtra,North,Beach,Scenery,Lucknow,Malayalam,145606,Raja Bhoj Airport,35313,Summer,Monsoon,10.3,12,71.79,92.76,21.16,35.14,358,5,Moderate,false,true,false,97,3294,35,true,5,32,945.1,3,6,9,Navratri,Chole Bhature,19,false,9,23647432,false,3,5,true,64,5,false,true,August
DST1913,Place_913,Tamil Nadu,North,Urban,Food,Ahmedabad,Bengali,101658,Jaipur International Airport,47127,Monsoon,Summer,2.38,9,59.05,82.32,13.49,24.54,478,5,Moderate,false,false,false,99,8402,169,false,5,37,516.5,9,5,3,Lohri,Kebabs,93,false,6,11289141,false,1,5,false,58,1,true,true,August
DST1914,Place_914,Assam,North,Wildlife,Food,Kolkata,Malayalam,325571,Cochin International Airport,14146,Winter,Monsoon,14.61,10,56.82,94.3,23.07,10.17,476,1,Easy,false,true,false,63,2355,26,true,4,15.1,1239.1,1,5,6,Pongal,Rogan Josh,98,true,7,28183375,true,5,5,false,70,3,true,false,January
DST1915,Place_915,Maharashtra,Central,Hill Station,Food,Cochin,Bengali,172468,Indira Gandhi International Airport,47266,Winter,Monsoon,13.16,5,54.46,86.37,23.4,13.06,64,3,Easy,false,true,false,15,2194,13,true,2,32.1,1911.2,7,10,3,Diwali,Dosa,64,true,8,47677922,false,5,3,true,15,1,true,false,January
DST1916,Place_916,Goa,East,Hill Station,Food,Indore,Bengali,507464,Devi Ahilya Bai Holkar Airport,46939,Summer,Monsoon,9.77,2,57.28,63.69,31.36,23.15,73,2,Moderate,false,false,true,28,2498,48,false,1,14.4,2061.1,3,6,2,Navratri,Vada Pav,99,false,4,46475675,true,3,1,true,60,3,false,true,October
DST1917,Place_917,Assam,East,Heritage,Food,Indore,Tamil,517653,Chhatrapati Shivaji Maharaj International Airport,15202,Summer,Monsoon,12.47,4,79.34,89.83,23.89,37.08,302,3,Moderate,true,false,true,87,3889,24,true,3,23,681.2,2,8,3,Eid,Dosa,51,true,4,36390283,false,5,1,false,70,3,false,false,May
DST1918,Place_918,Himachal Pradesh,North,Heritage,Culture,Goa,Hindi,795087,Goa International Airport,38142,Summer,Winter,13.43,8,52.26,65.18,26.5,14.18,316,5,Moderate,true,true,false,36,1515,42,true,4,28.8,823.3,5,9,10,Lohri,Biryani,79,false,9,9938315,true,5,2,false,71,3,true,false,October
DST1919,Place_919,Rajasthan,Central,Heritage,Temples,Jaipur,Bengali,249273,Rajiv Gandhi International Airport,22831,Summer,Monsoon,4.63,2,74.1,84.23,23.54,58.6,173,1,Easy,true,false,false,78,5582,198,true,4,26.1,2797.3,5,3,4,Durga Puja,Kebabs,77,true,7,4603506,true,5,1,true,33,2,true,true,October
DST1920,Place_920,Maharashtra,East,Beach,Wildlife,Goa,Marathi,665438,Rajiv Gandhi International Airport,10849,Summer,Summer,12.89,12,85.03,77.51,39.66,30.55,387,2,Easy,true,false,true,58,7798,151,false,5,11.7,1216.7,2,5,1,Lohri,Rogan Josh,81,true,2,7598648,false,2,5,true,61,2,false,true,December
DST1921,Place_921,Goa,Northeast,Wildlife,Food,Lucknow,Tamil,870508,Lokpriya Gopinath Bordoloi International Airport,21439,Summer,Monsoon,3.73,9,57.52,84.77,32.71,25.82,414,4,Easy,true,true,true,60,6552,99,true,5,20.9,1011,8,6,3,Pongal,Idli,22,true,7,17776200,true,2,4,false,25,1,true,true,October
